metric_name_1,metric_name_2,metric_name_3,metric_name_4,type,sub_type,value
Bihar,IT,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Bihar,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,16
Bihar,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,100
Bihar,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,147
Bihar,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,26
Bihar,CSO,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,25
Bihar,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,22
Bihar,CSO,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,19
Bihar,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,46
Bihar,RM,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,16
Bihar,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,3
Bihar,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,26
Bihar,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,40
Bihar,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,11
Bihar,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,15
Bihar,BD,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,2
Bihar,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,109
Bihar,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,157
Bihar,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,102
Bihar,BD,Job Portal,01-11-16,tat_sum,TAT Application to intw schedule,12
Bihar,BD,Job Portal,01-12-16,tat_sum,TAT Application to intw schedule,7
Bihar,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,7
Bihar,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,19
Bihar,Administration,Direct,01-12-16,tat_sum,TAT Application to intw schedule,8
Bihar,Support,Direct,01-11-16,tat_sum,TAT Application to intw schedule,3
Bihar,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,3
Bihar,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,12
Bihar,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,5
Chandigarh,Corporate,Employee Referral,01-12-16,tat_sum,TAT Application to intw schedule,2
Chandigarh,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,31
Chandigarh,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,20
Chandigarh,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,13
Chandigarh,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,18
Chandigarh,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,8
Chattisgarh,HR,Direct,01-11-16,tat_sum,TAT Application to intw schedule,6
Chattisgarh,Corporate,Direct,01-10-16,tat_sum,TAT Application to intw schedule,23
Chattisgarh,CSO,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,10
Chattisgarh,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,103
Chattisgarh,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,45
Chattisgarh,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,13
Chattisgarh,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,0
Chattisgarh,CSO,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Chattisgarh,CSO,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,0
Chattisgarh,CSO,Employee Referral,01-12-16,tat_sum,TAT Application to intw schedule,0
Chattisgarh,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,10
Chattisgarh,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,18
Chattisgarh,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,14
Chattisgarh,BD,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,7
Chattisgarh,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,242
Chattisgarh,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,299
Chattisgarh,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,189
Chattisgarh,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,1
Chattisgarh,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,6
Chattisgarh,Others,Direct,01-11-16,tat_sum,TAT Application to intw schedule,0
Delhi,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Delhi,IT,Direct,01-10-16,tat_sum,TAT Application to intw schedule,8
Delhi,CSO,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,29
Delhi,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,58
Delhi,CSO,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,62
Delhi,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,49
Delhi,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,77
Delhi,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,23
Delhi,CSO,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,39
Delhi,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,32
Delhi,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,256
Delhi,RM,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,67
Delhi,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,61
Delhi,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,6
Delhi,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,84
Delhi,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,25
Delhi,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,18
Delhi,BD,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,2
Delhi,BD,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,10
Delhi,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,138
Delhi,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,136
Delhi,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,60
Delhi,BD,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,1
Delhi,BD,Job Portal,01-11-16,tat_sum,TAT Application to intw schedule,8
Delhi,Finance,Direct,01-10-16,tat_sum,TAT Application to intw schedule,0
Delhi,Finance,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,13
Delhi,Finance,Job Portal,01-11-16,tat_sum,TAT Application to intw schedule,2
Delhi,Support,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Delhi,Support,Direct,01-12-16,tat_sum,TAT Application to intw schedule,9
Delhi,Support,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Delhi,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,4
Delhi,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,3
Delhi,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,17
Delhi,Marketing,Direct,01-10-16,tat_sum,TAT Application to intw schedule,13
Goa,CSO,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,1
Goa,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,3
Goa,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Goa,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Goa,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,32
Goa,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,8
Goa,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,1
Gujarat,Corporate,Direct,01-10-16,tat_sum,TAT Application to intw schedule,6
Gujarat,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Gujarat,Corporate,Direct,01-12-16,tat_sum,TAT Application to intw schedule,19
Gujarat,Corporate,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Gujarat,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,98
Gujarat,CSO,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,190
Gujarat,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,130
Gujarat,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,17
Gujarat,CSO,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,0
Gujarat,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,113
Gujarat,CSO,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Gujarat,CSO,Job Portal,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,170
Gujarat,RM,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,34
Gujarat,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,47
Gujarat,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,2
Gujarat,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,20
Gujarat,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,21
Gujarat,RM,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,5
Gujarat,RM,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,RM,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Gujarat,RM,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,0
Gujarat,BD,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,1
Gujarat,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,45
Gujarat,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,34
Gujarat,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,15
Gujarat,BD,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,57
Gujarat,BD,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,73
Gujarat,BD,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,23
Gujarat,Operations,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,Operations,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Gujarat,Analytics,Direct,01-10-16,tat_sum,TAT Application to intw schedule,1
Gujarat,Analytics,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Gujarat,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,7
Gujarat,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,Administration,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Gujarat,Finance,Direct,01-10-16,tat_sum,TAT Application to intw schedule,2
Gujarat,Finance,Job Portal,01-12-16,tat_sum,TAT Application to intw schedule,7
Gujarat,Support,Direct,01-10-16,tat_sum,TAT Application to intw schedule,3
Gujarat,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,4
Gujarat,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,14
Gujarat,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,6
Gujarat,Credit,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,1
Gujarat,Credit,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,Others,Direct,01-10-16,tat_sum,TAT Application to intw schedule,6
Gujarat,Others,Direct,01-11-16,tat_sum,TAT Application to intw schedule,0
Gujarat,Others,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Haryana,HR,Direct,01-10-16,tat_sum,TAT Application to intw schedule,6
Haryana,Corporate,Direct,01-10-16,tat_sum,TAT Application to intw schedule,15
Haryana,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,31
Haryana,Corporate,Direct,01-12-16,tat_sum,TAT Application to intw schedule,5
Haryana,CSO,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,43
Haryana,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,7
Haryana,CSO,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,37
Haryana,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,171
Haryana,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,281
Haryana,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,74
Haryana,CSO,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,10
Haryana,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,37
Haryana,CSO,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Haryana,CSO,Unknown,01-10-16,tat_sum,TAT Application to intw schedule,0
Haryana,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,58
Haryana,RM,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,75
Haryana,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,7
Haryana,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,6
Haryana,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,133
Haryana,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,48
Haryana,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,17
Haryana,BD,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,2
Haryana,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,136
Haryana,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,120
Haryana,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,34
Haryana,BD,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,4
Haryana,Administration,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,1
Haryana,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,7
Haryana,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,0
Haryana,Finance,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,1
Haryana,Support,Direct,01-10-16,tat_sum,TAT Application to intw schedule,17
Haryana,Support,Direct,01-11-16,tat_sum,TAT Application to intw schedule,8
Haryana,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,2
Haryana,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,10
Haryana,Others,Direct,01-11-16,tat_sum,TAT Application to intw schedule,3
Himachal Pradesh,Corporate,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,6
Himachal Pradesh,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,40
Himachal Pradesh,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Himachal Pradesh,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,9
Himachal Pradesh,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,1
Himachal Pradesh,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,12
Himachal Pradesh,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,8
Himachal Pradesh,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,5
Himachal Pradesh,RM,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,4
Himachal Pradesh,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,69
Himachal Pradesh,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,29
Himachal Pradesh,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Jammu & Kashmir,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,9
Jammu & Kashmir,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,35
Jammu & Kashmir,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,34
Jammu & Kashmir,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,17
Jammu & Kashmir,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,15
Jammu & Kashmir,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,1
Jammu & Kashmir,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,17
Jharkhand,HR,Direct,01-10-16,tat_sum,TAT Application to intw schedule,16
Jharkhand,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,6
Jharkhand,Corporate,Career Page,01-10-16,tat_sum,TAT Application to intw schedule,0
Jharkhand,IT,Direct,01-10-16,tat_sum,TAT Application to intw schedule,2
Jharkhand,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,28
Jharkhand,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,18
Jharkhand,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,24
Jharkhand,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,11
Jharkhand,CSO,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,1
Jharkhand,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,28
Jharkhand,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,65
Jharkhand,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,23
Jharkhand,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,26
Jharkhand,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,9
Jharkhand,BD,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,2
Jharkhand,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,97
Jharkhand,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,21
Jharkhand,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,67
Jharkhand,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,7
Jharkhand,Finance,Direct,01-12-16,tat_sum,TAT Application to intw schedule,5
Jharkhand,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,0
Jharkhand,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,9
Jharkhand,Others,Direct,01-10-16,tat_sum,TAT Application to intw schedule,16
Karnataka,HR,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,2
Karnataka,HR,Direct,01-10-16,tat_sum,TAT Application to intw schedule,3
Karnataka,HR,Direct,01-11-16,tat_sum,TAT Application to intw schedule,4
Karnataka,HR,Direct,01-12-16,tat_sum,TAT Application to intw schedule,7
Karnataka,Corporate,Direct,01-10-16,tat_sum,TAT Application to intw schedule,50
Karnataka,Corporate,Direct,01-12-16,tat_sum,TAT Application to intw schedule,11
Karnataka,IT,Direct,01-10-16,tat_sum,TAT Application to intw schedule,2
Karnataka,IT,Direct,01-12-16,tat_sum,TAT Application to intw schedule,7
Karnataka,CSO,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,7
Karnataka,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,12
Karnataka,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,105
Karnataka,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,603
Karnataka,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,13
Karnataka,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,2
Karnataka,CSO,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,0
Karnataka,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,24
Karnataka,RM,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,9
Karnataka,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,11
Karnataka,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,328
Karnataka,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,49
Karnataka,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,6
Karnataka,RM,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,4
Karnataka,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,192
Karnataka,BD,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,87
Karnataka,BD,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,121
Karnataka,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,738
Karnataka,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,227
Karnataka,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,237
Karnataka,BD,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Karnataka,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,11
Karnataka,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Karnataka,Support,Direct,01-11-16,tat_sum,TAT Application to intw schedule,4
Karnataka,Credit,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,5
Karnataka,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,72
Karnataka,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,8
Karnataka,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,15
Karnataka,Others,Direct,01-10-16,tat_sum,TAT Application to intw schedule,0
Kerala,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Kerala,Corporate,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,17
Kerala,IT,Direct,01-10-16,tat_sum,TAT Application to intw schedule,2
Kerala,CSO,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,32
Kerala,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,12
Kerala,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,240
Kerala,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,12
Kerala,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Kerala,CSO,Unknown,01-10-16,tat_sum,TAT Application to intw schedule,0
Kerala,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,1
Kerala,RM,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,6
Kerala,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,3
